node_id,osmid,lon,lat
2093,65541107,-121.9398236,37.3525941
2110,249041927,-122.367082,37.9268069
2115,461378567,-122.3936448,37.6149842
2120,249041939,-122.3730514,37.927065
2133,432018469,-122.1379594,37.4209999
2143,249041982,-122.3427991,37.9215807
2166,249042026,-122.3484976,37.9219029
2174,261624950,-121.9747283,37.2264655
2181,564663422,-122.2974306,37.5372269
2199,564663449,-122.2977773,37.5370086
2203,564663456,-122.297711,37.5374731
2215,249042103,-122.3519167,37.9218624
2224,564663506,-122.2969916,37.5368456
2258,564663616,-122.2878976,37.5449204
2265,564663633,-122.2875108,37.544735
2266,564663634,-122.2865854,37.5452513
2273,1060115811,-122.5046521,37.8994437
2325,564663743,-122.2890564,37.5438134
2436,65541880,-122.0630029,37.3779508
2464,338171703,-122.2056049,37.4649229
2466,338171705,-122.2046436,37.4644256
2468,338171706,-122.19069,37.4575073
2470,338171708,-122.1974939,37.4608557
2471,338171707,-122.1874723,37.4558767
2472,338171711,-122.2010988,37.4626407
2474,338171714,-122.1796917,37.4520107
2475,338171715,-122.1937064,37.4589658
2476,338171716,-122.1984748,37.461355
2477,338171717,-122.1771343,37.4505204
2478,338171719,-122.2029184,37.4635536
2479,338171720,-122.1919294,37.4581419
2480,338171721,-122.1714554,37.4467786
2483,338171725,-122.2001461,37.4621638
2485,338171727,-122.1816779,37.4530075
2486,338171728,-122.1740477,37.4484744
2487,338171729,-122.2023777,37.4632811
2489,338171726,-122.1946747,37.4594533
2491,338171732,-122.1962493,37.4602425
2492,338171733,-122.196538,37.4603705
2493,338171731,-122.1843704,37.454349
2494,338171734,-122.1711298,37.4463142
2500,4929886050,-122.8971094,38.4736058
2526,1673009095,-122.0138871,38.0108278
2530,62396368,-121.8056216,38.2418461
2576,257431662,-122.0209177,37.7007287
2623,2480937221,-121.9526022,37.5578232
2694,120592887,-122.1210828,37.4474199
2719,120592954,-122.1245448,37.4506942
2733,257432174,-122.0497371,37.6937883
2839,275782462,-122.2691834,37.8546113
2840,29891391,-122.027241,37.7008958
2857,275782481,-122.2706569,37.8512085
2878,29891439,-122.0980391,37.6378577
2900,56105882,-123.0807911,38.3819198
2943,309337078,-122.0288743,37.3648693
2947,309337101,-122.0250116,37.3616976
2958,1067457597,-122.0680087,37.3748255
2964,366484558,-122.0718642,37.9965649
2965,366484559,-122.0731425,37.9968854
2974,56106086,-122.8948487,38.4781528
3043,366484706,-122.0698688,37.9941811
3047,366484711,-122.0681168,37.9910786
3057,62397696,-121.8430246,38.1840469
3107,366484937,-122.0706033,37.994869
3117,366484972,-122.0697866,37.9948697
3122,366484994,-122.0691257,37.9942407
3128,366485016,-122.0676837,37.991907
3193,56106785,-122.4927998,38.3371041
3198,62398255,-122.2543731,38.1149816
3208,62398283,-122.2560739,38.1356935
3211,257433424,-122.0787563,37.6905194
3225,257433450,-122.0800143,37.690893
3226,257433449,-122.0738111,37.690201
3318,29892673,-122.5148738,37.9651091
3323,29892686,-122.5328628,38.047455
3332,29892713,-122.6263779,38.2460392
3334,189800555,-122.0120999,37.397546
3337,29892721,-122.7160103,38.4187247
3338,29892724,-122.7260181,38.449504
3341,29892729,-122.8059693,38.5433531
3428,56107346,-123.2711587,38.5324773
3450,65544562,-122.0312609,37.2581715
3465,65544597,-122.0870223,37.3873982
3626,1970807506,-121.5581065,36.9875415
3628,1970807508,-121.6253088,37.1195708
3630,1970807513,-121.8667902,37.3549177
3645,1970807537,-122.0129764,37.3956065
3646,1970807538,-122.0275644,37.3989899
3647,1970807539,-122.0926429,37.4209703
3652,1970807550,-122.290843,37.5478385
3654,1970807552,-122.2921692,37.5489863
3657,1970807558,-122.390799,37.6097593
3663,1970807562,-122.3927346,37.6107216
3669,1970807574,-122.397314,37.71434
3697,678962004,-122.219557,37.7665981
3717,432022400,-122.1266475,37.4145859
3761,56107997,-123.0077789,38.4957781
3841,552608906,-122.1235911,37.4485407
3903,809510134,-122.1810029,37.4830423
3917,3702007048,-122.0913455,37.3893471
