agent_id,origin_nid,destin_nid,hour,quarter
103,1150,1150,0,0
104,404,404,0,0
105,404,404,0,0
106,1150,1150,0,0
107,1676,1676,0,0
108,1150,1150,0,0
109,1676,1676,0,0
110,1150,1150,0,0
111,1149,1149,0,0
112,1150,1150,0,0
113,1149,1149,0,0
114,1150,1150,0,0
115,1150,1150,0,0
116,699,699,0,0
117,1150,1150,0,0
118,699,699,0,0
119,699,699,0,0
120,699,699,0,0
121,699,699,0,0
122,699,699,0,0
123,699,699,0,0
124,403,403,0,0
125,233,233,0,0
126,234,234,0,0
127,403,403,0,0
128,234,234,0,0
129,403,403,0,0
130,366,366,0,0
131,234,234,0,0
132,234,234,0,0
133,366,366,0,0
134,234,234,0,0
135,233,233,0,0
136,403,403,0,0
137,233,233,0,0
138,707,707,0,0
139,233,233,0,0
140,707,707,0,0
141,234,234,0,0
142,233,233,0,0
143,233,233,0,0
144,365,365,0,0
145,234,234,0,0
146,365,365,0,0
147,234,234,0,0
148,707,707,0,0
149,365,365,0,0
150,365,365,0,0
151,233,233,0,0
152,233,233,0,0
153,364,364,0,0
154,365,365,0,0
155,365,365,0,0
156,364,364,0,0
157,365,365,0,0
158,364,364,0,0
159,364,364,0,0
160,707,707,0,0
161,707,707,0,0
162,707,707,0,0
163,364,364,0,0
164,707,707,0,0
165,568,568,0,0
166,365,365,0,0
167,568,568,0,0
168,707,707,0,0
169,568,568,0,0
170,364,364,0,0
171,694,694,0,0
172,363,363,0,0
173,568,568,0,0
174,568,568,0,0
175,363,363,0,0
176,363,363,0,0
177,363,363,0,0
178,568,568,0,0
179,363,363,0,0
180,363,363,0,0
181,364,364,0,0
182,694,694,0,0
183,364,364,0,0
184,694,694,0,0
185,364,364,0,0
186,694,694,0,0
187,364,364,0,0
188,568,568,0,0
189,568,568,0,0
190,568,568,0,0
191,694,694,0,0
192,694,694,0,0
193,694,694,0,0
194,33,33,0,0
195,32,32,0,0
196,568,568,0,0
197,33,33,0,0
198,694,694,0,0
199,33,33,0,0
200,694,694,0,0
201,32,32,0,0
202,568,568,0,0
203,32,32,0,0
204,568,568,0,0
205,33,33,0,0
206,33,33,0,0
207,33,33,0,0
208,33,33,0,0
209,34,34,0,0
210,586,586,0,0
211,33,33,0,0
212,707,707,0,0
213,568,568,0,0
214,567,567,0,0
215,34,34,0,0
216,567,567,0,0
217,586,586,0,0
218,33,33,0,0
219,568,568,0,0
220,568,568,0,0
221,586,586,0,0
222,33,33,0,0
223,34,34,0,0
224,707,707,0,0
225,33,33,0,0
226,33,33,0,0
227,34,34,0,0
228,586,586,0,0
229,34,34,0,0
230,33,33,0,0
231,34,34,0,0
232,707,707,0,0
233,35,35,0,0
234,233,233,0,0
235,34,34,0,0
236,35,35,0,0
237,35,35,0,0
238,707,707,0,0
239,34,34,0,0
240,233,233,0,0
241,233,233,0,0
242,35,35,0,0
243,35,35,0,0
244,707,707,0,0
245,233,233,0,0
246,402,402,0,0
247,402,402,0,0
248,402,402,0,0
249,402,402,0,0
250,35,35,0,0
251,403,403,0,0
252,402,402,0,0
253,233,233,0,0
254,233,233,0,0
255,699,699,0,0
256,675,675,0,0
257,675,675,0,0
258,675,675,0,0
259,675,675,0,0
260,1615,1615,0,0
261,1615,1615,0,0
262,1615,1615,0,0
263,1615,1615,0,0
264,1615,1615,0,0
265,699,699,0,0
266,675,675,0,0
267,675,675,0,0
268,675,675,0,0
269,675,675,0,0
270,1615,1615,0,0
271,1615,1615,0,0
272,1615,1615,0,0
273,1615,1615,0,0
274,1615,1615,0,0
275,1615,1615,0,0
276,1615,1615,0,0
277,1615,1615,0,0
278,1615,1615,0,0
279,1676,1676,0,0
280,1676,1676,0,0
281,1676,1676,0,0
282,1676,1676,0,0
283,1676,1676,0,0
284,1676,1676,0,0
285,403,403,0,0
286,403,403,0,0
287,1615,1615,0,0
288,1615,1615,0,0
289,1676,1676,0,0
290,1676,1676,0,0
291,1676,1676,0,0
292,1676,1676,0,0
293,1676,1676,0,0
294,1676,1676,0,0
295,402,402,0,0
296,402,402,0,0
297,402,402,0,0
298,402,402,0,0
299,403,403,0,0
300,403,403,0,0
301,403,403,0,0
302,675,675,0,0
303,675,675,0,0
304,2069,2069,0,0
305,2069,2069,0,0
306,36,36,0,0
307,36,36,0,0
308,1677,1677,0,0
309,1677,1677,0,0
310,1677,1677,0,0
311,1677,1677,0,0
