node_id,lon,lat
255,-122.2511127,37.7703227
256,-122.2893723,37.7818153
257,-122.2960288,37.7798411
258,-122.2885153,37.7708291
259,-122.2881273,37.7735935
260,-122.2880898,37.7744988
261,-122.2880469,37.7754062
262,-122.2880285,37.7764449
263,-122.2880175,37.7771955
264,-122.287983,37.7778885
265,-122.2879594,37.7785774
266,-122.2759744,37.7707889
267,-122.2467282,37.7557194
268,-122.2462467,37.7563091
269,-122.2453136,37.75743
270,-122.2434089,37.7597332
271,-122.2420997,37.7613107
272,-122.2411176,37.7624821
273,-122.2405095,37.7632299
274,-122.2805528,37.7787473
275,-122.2597348,37.775606
276,-122.2596738,37.7766114
277,-122.2334519,37.7505848
278,-122.2665937,37.7659801
279,-122.2672163,37.764937
280,-122.2676106,37.7642612
281,-122.2379004,37.750464
282,-122.2659669,37.7703555
283,-122.2943365,37.7842072
284,-122.2925653,37.7839512
285,-122.2944789,37.783957
286,-122.2431695,37.7619309
287,-122.2409816,37.7648574
288,-122.2478367,37.7562985
289,-122.247355,37.7568883
290,-122.2453398,37.75933
291,-122.2647398,37.7640163
292,-122.2642704,37.7649467
293,-122.238599,37.7676363
294,-122.2375624,37.7519395
295,-122.2868399,37.7778591
296,-122.2465526,37.753464
297,-122.2457029,37.7544777
298,-122.2448393,37.7555799
299,-122.2439386,37.756714
300,-122.2434317,37.757327
301,-122.2429872,37.7578645
302,-122.2420315,37.7590201
303,-122.2407733,37.760544
304,-122.2397547,37.7617783
305,-122.2390878,37.7625792
306,-122.2383358,37.7634883
307,-122.2372787,37.7647643
308,-122.2366283,37.7655499
309,-122.2361797,37.7660906
310,-122.2346555,37.7679363
311,-122.2367,37.7613438
312,-122.2351658,37.7618276
313,-122.2344712,37.7623563
314,-122.2336177,37.7628688
315,-122.2295165,37.7636122
316,-122.2262475,37.763407
317,-122.2397034,37.7604897
318,-122.2823612,37.7734627
319,-122.2823203,37.7743716
320,-122.2822479,37.7763751
321,-122.2822104,37.777363
322,-122.2427613,37.7568289
323,-122.2422347,37.7574724
324,-122.2957617,37.7873651
325,-122.2831015,37.7843619
326,-122.2609371,37.758322
327,-122.2610384,37.7644839
328,-122.2861276,37.7699651
329,-122.286146,37.7695705
330,-122.2861958,37.7693386
331,-122.2876202,37.7653679
332,-122.241591,37.757136
333,-122.2410968,37.7568783
334,-122.240606,37.7566217
335,-122.2388969,37.755651
336,-122.2381216,37.7551161
337,-122.2365847,37.754048
338,-122.2358217,37.753521
339,-122.2350579,37.7529829
340,-122.28692,37.786941
341,-122.2898428,37.7800146
342,-122.2898359,37.7745348
343,-122.2859613,37.7735425
344,-122.2768037,37.7733279
345,-122.2749999,37.7732866
346,-122.2727426,37.7732355
347,-122.2685593,37.7731096
348,-122.2673168,37.7730545
349,-122.265882,37.7729923
350,-122.2633772,37.7729312
351,-122.2608845,37.7728732
352,-122.2561554,37.7715513
353,-122.2544502,37.7708098
354,-122.2536072,37.7704417
355,-122.2527711,37.7700782
356,-122.2519309,37.769711
357,-122.2490502,37.7684558
358,-122.2461963,37.7672175
359,-122.2433389,37.7659722
360,-122.2418955,37.7653387
361,-122.2369281,37.7627681
362,-122.2359389,37.7622522
363,-122.2344225,37.7614025
364,-122.2333198,37.7606965
365,-122.2325554,37.7601627
366,-122.2310134,37.7590958
367,-122.2897125,37.7776322
368,-122.2615235,37.7700763
369,-122.2608132,37.7747098
370,-122.2607714,37.7757321
