start_nid,end_nid,link_type,length,lanes,maxspeed,geometry,maxmph,fft,link_id
1388,1390,service,21.336,1,25,"LINESTRING(-122.2854961 37.7646427, -122.2855552 37.7644566)",25,1.9094990677439403,98
1307,1933,service,21.36,1,25,"LINESTRING(-122.2913058 37.7793192, -122.29154199999999 37.77926435)",25,1.911646985705407,99
1933,1307,service,21.36,1,25,"LINESTRING(-122.29154199999999 37.77926435, -122.2913058 37.7793192)",25,1.911646985705407,100
1335,1798,tertiary,21.362,1,25,"LINESTRING(-122.2331886 37.7679432, -122.2331685000000050 37.7678719000000029, -122.23316080000001 37.767704825)",25,1.9118259788688625,101
1798,1335,tertiary,21.362000000000002,1,25,"LINESTRING(-122.23316080000001 37.767704825, -122.2331487999999950 37.7678131999999991, -122.2331886 37.7679432)",25,1.911825978868863,102
1032,1033,service,21.373,1,25,"LINESTRING(-122.237765 37.7707381, -122.2376525 37.7709085)",25,1.9128104412678684,103
1033,1032,service,21.373,1,25,"LINESTRING(-122.2376525 37.7709085, -122.237765 37.7707381)",25,1.9128104412678684,104
1194,1195,service,21.438,1,25,"LINESTRING(-122.2878705 37.7676211, -122.2880815 37.7677178)",25,1.918627719080174,105
1195,1194,service,21.438,1,25,"LINESTRING(-122.2880815 37.7677178, -122.2878705 37.7676211)",25,1.918627719080174,106
1889,1079,service,21.506,1,25,"LINESTRING(-122.28414826666666 37.7771099, -122.2840443 37.7769138)",25,1.9247134866376632,107
1079,1889,service,21.506,1,25,"LINESTRING(-122.2840443 37.7769138, -122.28414826666666 37.7771099)",25,1.9247134866376632,108
632,1199,residential,21.509,2,25,"LINESTRING(-122.2979838 37.7867103, -122.2980002 37.7865173)",25,1.9249819763828466,109
1199,632,residential,21.509,2,25,"LINESTRING(-122.2980002 37.7865173, -122.2979838 37.7867103)",25,1.9249819763828466,110
455,1252,primary,21.535,5,25,"LINESTRING(-122.2766063 37.7782091, -122.2765997 37.7784027)",25,1.9273088875077689,111
1252,455,primary,21.535,5,25,"LINESTRING(-122.2765997 37.7784027, -122.2766063 37.7782091)",25,1.9273088875077689,112
1563,1561,tertiary,21.612000000000002,1,25,"LINESTRING(-122.2816533 37.775311, -122.28188 37.7753734)",25,1.9342001243008082,113
1640,1639,service,21.629,1,25,"LINESTRING(-122.2935847 37.7794094, -122.2933386 37.77941)",25,1.9357215661901803,114
1639,1640,service,21.629,1,25,"LINESTRING(-122.2933386 37.77941, -122.2935847 37.7794094)",25,1.9357215661901803,115
1889,1080,service,21.641,1,25,"LINESTRING(-122.28414826666666 37.7771099, -122.2842445 37.7769176)",25,1.9367955251709135,116
1080,1889,service,21.641,1,25,"LINESTRING(-122.2842445 37.7769176, -122.28414826666666 37.7771099)",25,1.9367955251709135,117
2015,698,secondary,21.685000000000002,1,25,"LINESTRING(-122.2261682 37.75834505, -122.2260287 37.7585333)",25,1.9407333747669362,118
698,2015,secondary,21.685000000000002,1,25,"LINESTRING(-122.2260287 37.7585333, -122.2261682 37.75834505)",25,1.9407333747669362,119
777,776,service,21.698999999999998,1,25,"LINESTRING(-122.2730057 37.7656786, -122.2729733999999979 37.7657465999999999, -122.2728406 37.7657916)",25,1.9419863269111248,120
776,777,service,21.698999999999998,1,25,"LINESTRING(-122.2728406 37.7657916, -122.2729290999999989 37.7657853999999986, -122.2730057 37.7656786)",25,1.9419863269111248,121
1931,1280,service,21.705,1,25,"LINESTRING(-122.290069975 37.788342975, -122.2905913 37.788323)",25,1.9425233064014915,122
1280,1931,service,21.705,1,25,"LINESTRING(-122.2905913 37.788323, -122.290069975 37.788342975)",25,1.9425233064014915,123
1015,935,residential,21.726,1,25,"LINESTRING(-122.2788604 37.7869971, -122.2786134 37.7870055)",25,1.944402734617775,124
935,1015,residential,21.726,1,25,"LINESTRING(-122.2786134 37.7870055, -122.2788604 37.7869971)",25,1.944402734617775,125
2001,1482,service,21.743,1,25,"LINESTRING(-122.2396386 37.766266099999996, -122.2397861 37.7660869)",25,1.9459241765071473,126
286,2080,primary,21.772,1,25,"LINESTRING(-122.2431695 37.7619309, -122.24343160000001 37.7620818)",25,1.9485195773772528,127
2080,286,primary,21.772,1,25,"LINESTRING(-122.24343160000001 37.7620818, -122.2431695 37.7619309)",25,1.9485195773772528,128
1325,1859,service,21.778,1,25,"LINESTRING(-122.2874838 37.7658643, -122.2877101 37.7656904)",25,1.9490565568676197,129
1859,1325,service,21.778,1,25,"LINESTRING(-122.2877101 37.7656904, -122.2874838 37.7658643)",25,1.9490565568676197,130
1919,2023,service,21.78,1,25,"LINESTRING(-122.29813835 37.78780955, -122.2978882 37.787842233333336)",25,1.9492355500310754,131
2023,1919,service,21.782,1,25,"LINESTRING(-122.2978882 37.787842233333336, -122.2980685999999935 37.7878795999999966, -122.29813835 37.78780955)",25,1.949414543194531,132
1053,1525,tertiary,21.81,1,25,"LINESTRING(-122.2455214 37.7653736, -122.2453051 37.7652775)",25,1.9519204474829086,133
1525,1053,tertiary,21.81,1,25,"LINESTRING(-122.2453051 37.7652775, -122.2455214 37.7653736)",25,1.9519204474829086,134
1251,1253,service,21.839,1,25,"LINESTRING(-122.2761764 37.7781986, -122.2762026 37.7783916)",25,1.9545158483530143,135
1253,1251,service,21.839,1,25,"LINESTRING(-122.2762026 37.7783916, -122.2761764 37.7781986)",25,1.9545158483530143,136
811,862,residential,21.855,1,25,"LINESTRING(-122.2882561 37.782634, -122.2882630999999947 37.7826334000000017, -122.2882900999999976 37.7826286999999965, -122.2883211000000045 37.7826182000000017, -122.2883431000000058 37.7826068000000035, -122.2883611000000030 37.7825940000000031, -122.2883810999999952 37.7825739999999968, -122.2883960999999999 37.7825514999999967, -122.2884091 37.7825012)",25,1.9559477936606589,137
1334,1798,secondary,21.905,3,25,"LINESTRING(-122.2328903 37.7678044, -122.23316080000001 37.767704825)",25,1.960422622747048,138
1338,1764,unclassified,21.978,1,25,"LINESTRING(-122.2768852 37.7712283, -122.276897675 37.770928575)",25,1.966955873213176,139
1764,1338,unclassified,21.978,1,25,"LINESTRING(-122.276897675 37.770928575, -122.2768852 37.7712283)",25,1.966955873213176,140
2077,1920,unclassified,22.107,1,25,"LINESTRING(-122.300495 37.7739831, -122.3001647 37.7739378)",25,1.9785009322560596,141
1920,2077,unclassified,22.107,1,25,"LINESTRING(-122.3001647 37.7739378, -122.300495 37.7739831)",25,1.9785009322560596,142
324,1146,residential,22.121000000000002,1,25,"LINESTRING(-122.2957617 37.7873651, -122.2957608 37.7871709)",25,1.979753884400249,143
1146,324,residential,22.121000000000002,1,25,"LINESTRING(-122.2957608 37.7871709, -122.2957617 37.7873651)",25,1.979753884400249,144
1864,1860,service,22.141,1,25,"LINESTRING(-122.29175035 37.77110315, -122.29170214999999 37.7716287)",25,1.9815438160348042,145
